premise	hypothesis	prediction	label
Most of it, I couldn't even begin to identify.	I knew everything there.	0	0
Each one planting itself in the sides of Stark's neck.	Stark avoided being hit.	0	0
For a review of the literature, see William G. Gale and John Sabelhaus, Perspectives on the Household Saving Rate, Brookings Papers on Economic Activity (1:1999), pp. 181-224.	No literature was used in this instance.	0	0
He asserted that the area was blessed with the highest concentration of exactly those natural features that, when combined, create the most pleasing and relaxing vistas possible landscapes composed of  lakes representing the source of life in water, trees offering the promise of shelter, smooth areas providing easy walking and a curved shoreline or path in the distance to stimulate curiosity.  	He did not believe his assertions of the area's beauty.	0	0
from grocery store baggers that want to buy my car because it's a Trans Am they're high school seniors seventeen years old and they got to impress their girl friend	My Trans Am isn't popular at all.	0	0
NHTSA concluded that while section 330 superseded the section 32902 criteria, it did not supersede the section 32902 mandate that there be CAFE standards for model year 1998.	NHTSA concluded that section 330 did not supersede the section 32902 criteria. 	0	0
Could you please speak to this issue, with regard to the social ramifications of gum chewing in public?	What is your opinion of gum chewing in public?	1	1
It's all right.	Everything is a disaster.	0	0
A conventional siege was useless against such a seemingly impregnable rock, however, and with so much food and water the Zealots could not be starved into submission.	Eventually, the besieging soldiers had to give up and go home.	2	2
The agency also receives a percentage of money from the Interest On Lawyers' Trust Accounts.	They get some funding from the account.	1	1
Sultan Abdul Hamid II (1876 1909) tried to apply absolute rule to an empire staggering under a crushing foreign debt, with a fragmented population of hostile people, and succeeded only in creating ill will and dissatisfaction amongst the younger generation of educated Turks.	Although he was disliked by educated young Turks, Sultan Abdul Hamid II was loved by the older generations.	2	2
Expenses included in calculating net cost for education and training programs that are intended to increase or maintain national economic productive capacity shall be reported as investments in human capital as required supplementary stewardship information accompanying the financial statements of the Federal Government and its component units.	Net cost for education programs can be calculated as a way to decrease productivity.	0	0
Under Deng Xiaoping, Beijing actively sought to cultivate a good bilateral relationship.	Beijing sought to create a good relationship with Hong Kong.	2	2
Emergency physician attitudes concerning intervention for alcohol abuse/dependence in the emergency department.	Physicians were never consulted about substance abuse interventions in the ER.	0	0
In DOD's current acquisition environment, the customer is willing to trade time and money for the highest performing weapon system possible.	This is so they can blow the most shit up.	2	2
The more popular offerings include kuru fasulye (haricot beans in tomato sauce), patlecan kizartmas (aubergine fried in olive oil and garlic), and a range of salads.	Salads and dishes with aubergine in them are both available.	1	1
oh yeah all all mine are uh purebreds so i keep them in	all of mine are poodles	2	2
At the top, it bore the printed stamp of Messrs. 	They had no idea where the package had came from as it did not have a stamp.	0	0
He wanted silk and encouraged the Dutch and British as good, nonproselytizing Protestants just interested in trade.	He had no interest in silk or trading.	0	0
In that case, price discrimination can survive.	Right now, no leeway is possible with the price.	0	0
5) The Democrats are reaping what they sowed (after torturing Robert Bork, John Tower, and Clarence Thomas).	Democrats rarely have any political relevance.	0	0
This was the site of the Bateau-Lavoir studio, an unprepossessing glass-roofed loft reconstructed since a 1970 fire.	This was the site of the studio which had an unprepssessing glass roof.	1	1
They have prominent red protuberances and may have been named after the British redcoats.	They were named after the redcoats because they are the same bright red color on their bodies.	2	2
Clearly, GAO needs assistance to meet its looming human capital challenges.	The GAO has been receiving so many applications from qualified job seekers that they have had to raise the bar in hiring new employees.	2	2
The key question may be not what Hillary knew but when she knew it.	Hillary never knew anything.	0	0
Puri also has a beautiful beach, southwest of town, which is ideal for cooling off but those aren't sandcastles the Indians are making, they're miniature temples, for this is the Swarga Dwara (Heaven's Gateway), where the faithful wash away their sins.	Puri is landlocked, so you'll have to travel fifty miles away to get to a beach.	0	0
Funchal's central area boasts the best variety of shops and local products on the island.	Funchal has great shops because it is a giant ski resort.	2	2
The centralization dear to Richelieu and Louis XIV was becoming a reality.	Louis XIV cared a lot about centralization of his country and people.	2	2
Since 1998, LSC has initiated and overseen significant structural changes in the number and configuration of LSC-funded programs in order to develop more powerful and effective state delivery systems.	LSC has developed better state delivery systems.	1	1
but uh these guys were actually on the road uh two thousand miles from from home when they had to file their uh their final exams and send them in	These men were driving in a blue Cadillac when they filed their final exams.	2	2
Do you think I should be concerned?	Do you believe I should be worried?	1	1
(j) Promotional items a member receives as a consequence of using travel or transportation services procured by the United States or accepted pursuant to 31	A member can receive promotional items for traveling.	1	1
36 million could mean the state's legal services for the poor will lose six of their 21 regional offices, the head of a poverty-law resource center said.	LSC will get a big increase in funding soon.	2	2
These adaptations are not uniformly valued.	Adaptions are always valued 	0	0
Closed on Friday.	Unable to be reached on Friday.	1	1
But they persevered, she said, firm and optimistic in their search, until they were finally allowed by a packed restaurant to eat their dinner off the floor.	Because all of the seats were stolen, they had to eat off the floor.	2	2
Bork shuddered.	Bork shivered.	1	1
uh-huh and is it true i mean is it um	It's true.	1	1
In fact, you're going to be rewarded.	Indeed, you will get a prize.	1	1
Using teams can also assist in integrating different perspectives, flattening organizational structure, and streamlining operations.	Organizational structure isn't one of the issues that the team has been known to assist with.	0	0
Respondents to the Board's question on whether the alternatives of presenting costs of Federal mission PP&amp	The Board questioned the alternatives of presenting costs of Federal mission.	1	1
 "Give it to me." He handed it to her.	He refused to give it to her when she told him to.	0	0
or just get out and walk uh or even jog a little although i don't do that regularly but Washington's a great place to do that	"Washington's is a great place for a walk or a jog."	1	1
To reach any of the three Carbet falls, you must continue walking after the roads come to an end for 20 minutes, 30 minutes, or two hours respectively.	There are three routes to the three Carbet falls, each a different length and all continue after the road seemingly ends.	1	1
oh i believe that uh mine would say the same uh but uh i seem too rely on them too much	Oh no way, I do not believe that and you can be sure mine would say the opposite. 	0	0
yes yeah yeah well it it that's right and it	that's right, yes	1	1
The state legislature provides significant bipartisan support for the legal services delivery system.	State legislature provides no legal delivery system	0	0
Are you sure we should take him down there?' Greuze asked Natalia.	Natalia was certain it was alright to bring him down there, and told Greuze that no matter what, he must end up down there. 	0	0
The final reason for the teen renaissance is boomer self-obsession.	There are 15 key reasons for the teen renaissance we are seeing.	2	2
During the half-century of its existence, Israel has absorbed approximately 2.5 million Jewish immigrants, displaced persons, refugees, and survivors of the Nazi Holocaust.	Israel shunned the Jewish people from entering to escape the Nazi Holocaust.	0	0
Helms, who will be 81 when his fifth term ends, is increasingly frail.	Helms will turn 81 next month.	2	2
I was deeply impressed by the power and eloquence of the counsel for the defence.	The counsel for his defence did not impress me in any way.	0	0
more of a football powerhouse up there i guess	I suppose he is more of a football powerhouse there.	1	1
There are no gods here now, said the voice of the monster in front of them.	The monster's voice was loud and scary. 	2	2
The arched gateway leads to a large swimming pool and the ruins of a Roman and Byzantine baths complex.	There aren't any swimming pools past the arched gateway.	0	0
Using a threestep development planning process, managers assess their current capabilities, determine their specific development needs, and build and execute a development plan.	Managers asssess their current capabilites by using a threestep development planning process.	1	1
We briefly discussed the Nazi angle	We talked about the Nazi angle.	1	1
Professor Rogers began her career by clerking for The Honorable Thomas D. Lambros of the United States District Court for the Northern District of Ohio.	Professor Rogers started her career as a clerk.	1	1
because uh i know people who eat tons of that kind of stuff and they're just as healthy as can be	Some people who eat unhealthy foods are not sick.	1	1
 Then he ran.	He then started to run.	1	1
All the steps of data reduction and coding are described, along with the basis for transformations in these steps.	Only the resultant data set is presented.	0	0
  There's nothing like the trendy resort clothing available here, styled on the island by the designers of the Ad-Lib group.	There is no trendy resort clothing available here, so you would have to go elsewhere to find it.	0	0
Despite its initial failings, Siegel's Flamingo survived him, as did mob infiltration of casinos.	Siegel likes to wear brightly colored shirts.	2	2
To the sociologists' speculations, add mine.	Add my speculation to the sociologists', said the old man.	2	2
Simmons, probably rap's greatest entrepreneur, lives in New York; schmoozes bankers, fashion designers, and record executives; and cuts deals with conglomerates such as Time Warner.	Simmons is known for dating New York's most prominent fashion designers. 	2	2
In particular, the model provides a useful framework for assessing the long-term implications of alternative budget policies through their effect on national saving.	This model is not useful for seeing how certain budget policies affect national saving, as the model does not record that.	0	0
John Panzar has characterized street delivery as a bottleneck function because a single firm can deliver to a recipient at a lower total cost than multiple firms delivering to the same customer.	There are no cost differences, according to John Panzar, between one or multiple firms delivering to a customer.	0	0
'Of course.'	Of course not.	0	0
Indeed, said San'doro.	Indeed, they said.	1	1
oh it's fun i call	I like calling my friends for fun.	2	2
little too much maybe	It's just the right amount.	0	0
Many restaurants and bars have live music.	Many restaurants and bars have live music 7 nights a week.	2	2
H-2A aliens, as the only category of eligible aliens who reside in the United States temporarily, are particularly affected by the issue before the Commission because of their necessarily short periods of time in the United States.	H-2A aliens have short periods of time in the United States.	1	1
yeah uh-huh oh yeah petting zoos and things	Petting zoos and things related.	1	1
The entire economy received a massive jump-start with the outbreak of the Korean War, with Japan ironically becoming the chief local supplier for an army it had battled so furiously just a few years earlier.	Japan became the local supplier for Korea.	1	1
oh yes yeah yeah yeah that's true too that's true	That is not true.	0	0
The analyses comply with the informational requirements of the sections including the classes of small entities subject to the rule and alternatives considered to reduce the burden on the small entities.	There is no need for the analyses to attempt to meet any informational requirements.	0	0
In this rule, cost refers to historical cost and market refers to the current replacement cost by purchase or production.	The historical cost is used in the rule.	1	1
The AMS system also allows users to search the full text of the public comments, identifies form letter comments and ex parte communications,8 and provides a list of related government web sites-features that are currently not available in the DOT docket management system.	The full text of public comments is available within the AMS system.	1	1
He had to try something.	He didn't need to try anything.	0	0
The political cleansing that did not happen through the impeachment process leaves Clinton with a great and serious burden.	There was no such instance of political cleansing.	0	0
Blessed with preternatural gregariousness, good humor, and a love of attention, he's been tireless about pursuing both celebrity and the cause of popular history ever since.	He worked very hard to be the top-grossing star in the box office.	2	2
In our family we have two sons in public life.	Our family has no members in public life.	0	0
If there was a bit of Fuller in Leonardo, there was also a bit of Liberace in this theatrical, high-living dandy who favored brocade doublets and bad boys with pretty faces.	Leonardo played a very serious straight laced character.	0	0
California is high	Lack of response from California.	0	0
For centuries, the Loire river was a vital highway between the Atlantic and the heart of France.	The Loire stopped being a vital highway shortly after the revolution.	2	2
6See also Internal Control Management and Evaluation Tool (GAO-01-1008G, August 2001).	The tool is not for Internal Control Management.	0	0
From that spot she could see all of them and, should she need to, she could see through them as well.	She wasn't able to see them.	0	0
That is, businesses commonly contract out any function that can be done by another firm at a lower cost.	Businesses always perform business functions internally.	0	0
The new rights are nice enough	The latest privileges are adequate  	1	1
So he goes out and walks in the woods, little dreaming that Mrs. Inglethorp will open his desk, and discover the incriminating document. 	Taking his dog with him, he walks into the woods.	2	2
yeah i mean just when uh the they military paid for her education	Her education was paid for by the military.	1	1
If the company makes money on the policy, other insurers are expected to follow.	If Geico makes a profit on their new renters policy, other companies will likely follow their lead. 	2	2
yeah although i do worry that how easy this one was might be a bad lesson uh to the to the younger people um you know than there is the other generation	I do worry that it might be a bad lesson for the kids.	1	1
Bork shuddered.	Bork was perfectly still.	0	0
But when the cushion is spent in a year or two, or when the next recession arrives, the disintermediating voters will find themselves playing the roles of budget analysts and tax wonks.	The cushion cannot be depleted and there is not going to be another recession.	0	0
Jon was fighting at full speed, sweat forming on his brow.	Jon was fighting demons at full speed.	2	2
He works himself into a fake froth; does some calculated, halfhearted gonzo writing; then collects a fat check.	He's well-known in writing circles as a hack who is willing to sell out to the highest bidder.	2	2
This makes it incumbent on the government to create incentives to recruit new employees and retain older employees.	The government needs to create incentives to get and retain employees.  	1	1
i don't know if you have a place there called uh or you probably have something similar we call it Service Merchandise	There is usually a similar place anywhere you go.	2	2
Model yields an estimate of the percentage change in a household's demand for postage as a result of owning a computer	People receive many more items in the post if they have a computer in the house.	2	2
On the platform stood an altar and a large stone pillar.	There was an altar and a pillar on the platform.	1	1
um-hum they have socialized socialized health care	They have socialized health care.	1	1
Agencies may perform the analyses required by sections 603 and 604 in conjunction with or as part of any other agenda or analysis required by other law if such other analysis satisfies the provisions of these sections.	Agencies may wish to perform the analyses required by sections 603 and 604.	1	1
At the eastern end of Back Lane and turning right, Nicholas Street becomes Patrick Street, and in St. Patrick's Close is St. Patrick's Cathedral .	Nicholas Street becomes Patrick Street after turning left at the eastern end of Back Lane.	0	0
yeah that's that's a big step yeah	Yes, that is a huge step.	1	1
With their fluent Vietnamese and Mandarin, they help Tran understand her family's eligibility for Medi-Cal and food stamps, assist the 70-year-old woman in finding a place to live and advise abused women how they can stay in the country while staying away from their husbands.	Chan was not able to understand what they were saying. 	0	0
Eve's Apple turns out to be a sturdier book than it seems.	Eve's Apple is an overrated book.	0	0
and take it easy now good night	Good morning, I hope you have an awful day.	0	0
We know they will have to come from the south but that gives them a space as wide as the town in which to launch their attack.	The people will be approaching from the south.	1	1
She wears either revealing clothes or professional clothes (or perhaps both).	Her clothes are either provocative or conservative.	1	1
little too much maybe	A bit excessive, possibly. 	1	1
Kicked out of the house when she was only 16 (she was called Suzie in those days), Roy went to Delhi and then to architecture school, supporting herself by selling empty milk bottles (some say beer bottles).	Roy made $1 a day selling bottles.	2	2
More works can be seen in the museum attached to the cathedral (admission is around 100 pe?­setas).	The cathedral also has a fair number of sculptures.	2	2
Republican consultants agree that conservative candidates in the South, Southwest, Midwest, and Rocky Mountains will beg for Reed's talents and connections.	Reed's talents will be begged for by people across the country, according to Republicans.	1	1
Each working group met several times to develop recommendations for changes to the legal services delivery system.	The groups disagreed on the appropriate action to take, but they finally found a solution. 	2	2
Nabatean trading town on the route from Gaza to Petra .	Many exotic goods are for sale in the town.	2	2
But it was quite a natural suggestion for a layman to make."	No one could think of a single idea. 	0	0
Then he shrugged.	He shrugged.	1	1
SSA will consider the comments received by April 14, 1997, and will issue revised regulations if necessary.	Regulations are not to be revised under any circumstances.	0	0
An important early material, obsidian, was discovered on the island of Milos.	They discovered obsidian on Milos.	1	1
i don't know um do you do a lot of camping	I know exactly.	0	0
They wanted you, so they got you."  Dave considered it.	They wanted to use your skills, so they brought you here.	2	2
huh no i haven't attempted that i'm satisfied with what we have right now and we do have a gas credit card and we use that	Most of our cards offer cash back rewards.	2	2
After shuttering the DOE, Clinton could depict himself as a crusader against waste and bureaucracy who succeeded where even Reagan failed.	Reagan had tried to shutter the DOE but was unable to.	2	2
You'll even be able to consult a traditional herbalist to cure your ailments.	You will not be allowed to consult with traditional herbalists.	0	0
Eighty percent of pagers in the United States were knocked out by a satellite malfunction in space.	A majority of pagers in the United States were disrupted by a satellite malfunction.	1	1
Many who fled have returned.	Lots of then came back.	1	1
Joseph Lister pioneered the use of carbolic acid to keep wounds clean, and James Young Simpson experimented with chloroform as an anesthetic.	Lister and Simpson were the only ones to use carbolic acid and chloroform for this purpose.	2	2
Czarek was welcomed enthusiastically, even though the poultry brotherhood was paying a lot of sudden attention to the newcomers - a strong group of young and talented managers from an egzemo-exotic chicken farm in Fodder Band nearby Podunkowice.	Czarek was welcomed into the group by the farmers.	1	1
This site provides information links, tools, and resources developed for the benefit of the audit profession, including audit programs, best practices, and research services.	Auditors can use this site to find tools and resources and learn about best practices.	1	1
The younger girl ran screaming to her.	The young girl was scared. 	2	2
You did not understand that he believed Mademoiselle Cynthia guilty of the crime?	He believed Mademoiselle Cynthia guiltyand you were unaware?	1	1
Also, the final rule is not intended to have any retroactive effect and administrative procedures must be exhausted prior to any judicial challenge to the provisions of the rule.	The final rule isn't meant to have a retroactive effect.	1	1
right after the war	The war was too long.	2	2
The census of 1931 served as an alarm signal for the Malay national consciousness.	The 1931 Malay census was an alarm bell.	1	1
apparently apparently the appraisers likes it because our taxes sure is high  isn't it it really is	The appraiser did not like it one bit.	0	0
He could make quite an issue out of the need to determine the characteristic impedance of their sky.	He had no reason to make an issue of the situation.	0	0
That seems to make up for how he feels about what you did to the Voth.	Nothing could make up for what was done to the Voth. 	0	0
On the platform stood an altar and a large stone pillar.	There was only a pillar on the platform.	0	0
they eat a lot of it you know you can take your vitamins and she was telling me to take zinc so anyway i've been taking enough zinc you know  to kill a horse probably  i hope it doesn't hurt me but anyway  i did read one chapter of that	I considered but decided against taking zinc.	0	0
Dole : We ought to agree that somebody else should do it.	We don't agree that anyone should do it.	0	0
She shrugged.	She acted like it didn't matter.	2	2
Sarawak pottery is ochre-colored with bold geometric designs.	Sarawak pottery has been around for a long time.	2	2
that's really true a lot of it is um the color certain colors seem to be more acceptable	Certain colors seem to be more acceptable.	1	1
I'd noticed him more than once and I'd figured it out in my own mind that he was afraid of somebody or something.	I feel like something or someone is terrifying him.	1	1
Today the strait is busy with commercial shipping, ferries, and fishing boats, and its wooded shores are lined with pretty fishing villages, old Ottoman mansions, and the villas of Istanbul's wealthier citizens.	Istanbul's wealthy citizens live on the wooded shores of the strait.	1	1
The formation of a single statewide program was adopted to breathe life into a single program that will provide meaningful access to high quality legal services, in the pursuit of justice for as many low-income people throughout Colorado as possible.	The state has decided to divide its legal assistance services into several programs.	0	0
Clearly, GAO needs assistance to meet its looming human capital challenges.	GAO will soon be suffering from a shortage of qualified personnel.	2	2
i've been getting a kick out of those lately	I've gotten kicked out of those recently. 	1	1
Even after we hire good people, we need to take steps to retain them.	People often stay on a job for different reasons than the ones they had for accepting the position.	2	2
In Japan, Mainichi Shimbun criticized the new Liberal Democratic Party leader Keizo Obuchi for being devoid of fresh ideas for reviving the Japanese economy.	Mainichi Shimbun was critical of Keizo Obuchi, the new Liberal Democratic Party Leader.	1	1
i think it's real good anyway it's it's been it was nice meeting you	It was nice meeting you	1	1
an d now we got the governor she's going to do that	Now we have the governor, there is no way she is going to do it.	0	0
Bien! he said at last. 	He wasted no time speaking. 	0	0
If he were someone who was an assistant, with an ailing mother to support, well, it would be impossible.	It would not be possible if he was an assistant with a sick mom. 	1	1
Sun Ra's spaceships did not come, as it were, out of nowhere.	The spaceships came from nowhere.	0	0
now you know the ball'll go straight and i go  i never broke a club or anything but you know i'd get upset about it sometimes and now i guess you know being in my forties i just kind of mellowed out a little bit i don't get upset any more so	Age has made me more calm when I play sports.	1	1
De Wit worked from likenesses of actual monarchs to produce his portraits.	To create his portraits, De Wit used the likenesses of real monarchs.	1	1
The relatively small crowds mean that fans sit close to the action.	Fans sit far from the action.	0	0
Peel Edgerton.	Take off Edgerton.	1	1
Perhaps tax reform doesn't appeal to the new spiritualized side of Bradley.	Bradley is spiritual now.	1	1
Don Saunders attended from the NLADA.	The NLADA sent Saunders.	1	1
and the wind started blowing and it was one of my earlier trips to be really out in the middle of	I was scared and wanted to go home.	2	2
Some experts say there's a greater chance of a making a catch in the cooler days of spring and autumn, and in the hours after sunset.	According to some professionals, cooler times are the best for getting a catch.	1	1
My article does not say or imply that real earnings growth only reflects retentions and that dividend growth must be zero or that all valuation techniques are out the window for firms that don't pay dividends.	My article simply implies that real earnings growth reflects only retentions and that dividend growth must be zero or that valuation techniques are unused for firms which don't pay dividends.	0	0
Nowadays it is bordered by ancient columns and lined with expensive shops.	It's surrounded by columns, but there are no shops around.	0	0
You claimed to be a repairman for such devices."  Hanson bent to study it again, using a diamond lens one of the warlocks handed him.	Hanson took it and threw it aside, knowing it was useless.	0	0
and these poor guys out there uh trying to uphold the law um i don't know i kind of think they should bring back capital punishment	It might be beneficial to start using capital punishment again.	1	1
He fell in love with Monica Lewinsky--and even told her he wanted to be with her when he left office.	He told Monica that he would like to be with her even after leaving the office.	1	1
The national mood is stressed on the octagonal spire of the University's Rajabai Clocktower, with 24 figures representing the castes of the Maharashtra State, of which Mumbai is the capital.	There are 24 figures on the Rajabai Clocktower that symbolize the castes of the Maharashtra State, which Mumbai is the capital.	1	1
Sue me, Royko wrote.	Royko was over their crap. 	2	2
The percent of total cost for each function included in the model and cost elasticity (with respect to volume) are shown in Table 1.	Table 1 also shows a picture diagram for each function. 	2	2
Cybernetics had always been Derry's passion.	Derry had a passion for cybernetics.	1	1
People make two justified complaints about our Slate 60 ranking of America's largest contributors to charity.	Slate 60 ranks American charity contributions.	1	1
They proclaimed Japan's mission to bring progress to its backward Asian neighbors in language not so very different from that of the Europeans in Africa or the US in Latin America.	Japan had no intention of progressing its Asian neighbors in the area of language.	0	0
what does um is Robby Robin Williams does he have a funny part in the movie or is	Is Robin Williams in the movie?	2	2
The panels are to collect advice and recommendations from representatives of affected small entities as part of their deliberative process.	The panels will collect advice, along with data from representatives of the affected entities.	1	1
The contrast between the landscape of the central highlands and the south coast could not be more marked.	The contrast was unable to be marked.	0	0
She  People are rarely indifferent to the magazines I've put out.	I've put out non-controversial magazines with a small amount of strong opinions.	2	2
Their goals remain influential as India approaches the new millennium while it continues to modernize its industry and increase its agricultural output.	India's agricultural output has doubled in the last decade. 	2	2
and uh it that takes so much time away from your kids	That it depletes your availability from your children.	1	1
Trying Your Luck	Give it a try.	1	1
oh does it sure	oh, does it? no way	0	0
It has served as a fortress for the Gallo-Romans, the Visigoths, Franks, and medieval French (you can see the layers of their masonry in the ramparts).	The fortress was built by the medieval French in 1173.	2	2
i think the rate of processing is just about uh reached the rate of housing anyway so keep the keep the normal as it is can't upset the system very much	The rate of processing just reached the rate of housing.	1	1
The Varanasi Hindu University has an Art Museum with a superb collection of 16th-century Mughal miniatures, considered superior to the national collection in Delhi.	There is an art museum with a superb collection of 16th-century Mughal miniatures that the Varanasi Hindu University.	1	1
He fled in his car when cops arrived and led them on a chase that ended in the massive crash.	He stayed put and calmly showed the officers his license and registration.	0	0
So it has gone, with conspiracism playing a role in crisis after crisis.	Conspiracy theorists eat up crisis 	2	2
Today it is possible to walk through the old agora (marketplace) and stroll along Roman roads.	Walking through the old agora is a popular pastime. 	2	2
You will find two principal  fino and olorose	You won't find any fino or olorose.	0	0
and have been back and every now and then some news filters in that they went to see some of the old things and of course the savings and loan program um that was that you know that that just continued to grow in fact after my group i mean we were just a very small specialized group too to get that going and spread and then of course Peace Corps bowed out of that because that's uh uh something that nationalized very quickly and the same with the coops	Every once in awhile some news comes in about the program.	1	1
Therefore, many leading finance organizations have calculated and compared these percentages as a general indication of how well they supported the organization's business objectives.	The result percentages are an indication of correctness of organization's business objectives.	1	1
Taking an ecumenical tack, nation officials in Chicago recently issued edicts commanding preachers to back off their anti-Semitic rhetoric.	Nation officials in Chicago are involved in religious issues.	1	1
Upriver, east of Blois, in a huge densely wooded park surrounded by 31 km (20 miles) of high walls, the brilliant white Ceteau de Cham?­?­bord is the most extravagant of all the royal residences in the Loire Valley.	The Ceteau de Chambord is an ugly, unremarkable hut in an open field.	0	0
The next year, he built himself a palace, Iolani, which can still be toured in Honolulu.	There are no palaces in Honolulu that can be toured.	0	0
have you read Tom Clancy	He wondered if he read Tom Clancy.	1	1
Well, shut it then, laughed the woman.	The woman laughed.	1	1
We shouldn't have been here as soon as this even, if it hadn't been for the fact that there was a smart doctor on the spot, who gave us the tip through the Coroner. 	The doctor and the Coroner decided not to give us the tip.	0	0
yeah it is it is and i guess you don't have to but you know if you look at oh have you ever seen any of the Jacques Teti Teti movies the French movies uh Teti it it	Jacques Teti movies are my favorite.	2	2
The arts also flourished in India during these early times.	The early times saw the popularity of the arts explode.	1	1
The Wither's eldest boy, one of the four of the town militia, saluted in the old style with his stick sword.	The boy held a piece of wood in his hand. 	1	1
At that event, legal services personnel, court personnel, and other technology experts saw demonstrations by four companies on their products, and assessed their utility for preparing pro se documents.	Legal services personnel saw product demonstrations. 	1	1
And who should decide?	We do not have to worry about who should make the decision.	0	0
You will remember my saying that it was wise to beware of people who were not telling you the truth."	The people all tell you the truth.	0	0
The questions may need to be tailored to	None of the questions will need to be tailored to.	0	0
The park was established in 1935 and was given Corbett's name after India became independent.	The park used to be named after Corbett.	1	1
He saw Stark buried under the earth, screaming for a mercy or death that would never come and crawling out of the rock decades later.	Stark got buried in a big hole.	2	2
i cried when the horse got killed and when the wolf got killed	I went through the entire thing without crying.	0	0
Reports on attestation engagements should state that the engagement was made in accordance with generally accepted government auditing standards.	To prevent fines, attestation engagements must have proof that they comply with government auditing standards.	2	2
The purpose of the Diwan-i-Khas is hotly disputed; it is not necessarily the hall of private audience that its name implies.	The hall is not know many people.	2	2
To their good fortune, he's proving them right.	He is showing that they were correct.	1	1
However the Postal Service did provide as much detail as is collected a volume distribution by transportation mode and shape for sixty individual countries.	The Postal Service would've provided more detail if it hadn't been for the lack of resources.	2	2
There are many such at the present time.	There are none at all.	0	0
We look forward to receiving comments from the readers of this paper.	They discourage people from making comments about the paper.	0	0
Despite their 17th-century origins, these gardens avoid the rigid geometry of the Tuileries and Ver?­sailles.	These gardens contain more than a dozen types of orchids.	2	2
Or just a philosophy of any weapon to hand?	They don't allow any weapon.	0	0
For instance, when Clinton cited executive privilege as a reason for holding back a memo from FBI Director Louis Freeh criticizing his drug policies, Bob Dole asserted that the president had no basis for refusing to divulge it.	Bob Dole asserted that Clinton had privilege in all cases. 	0	0
We have heard, seen this pattern before.	This pattern is familiar to us.	1	1
The Romans built roads and established towns, including the towns of Palmaria (Palma) and Pollentia (near present-day Alc??dia).	The Romans established several towns over the course of their history.	1	1
We make simulacra out of mandrakes--like the manicurist in the barber shop.	Simulacra is made from mandrakes. 	1	1
… I succeeded in my false career.	I failed in my false career.	0	0
but you know they kids seem like when they get ten or twelve years old they fall out of that and and they don't follow it at all you know there're very few scouts go on and become Eagle Scouts and and i don't know what the high rank is for the gals but	Many kids leave the Scouts when they are pre-teens.	1	1
There is.	There sure is.	1	1
At the delta of the Rh??ne, where its two arms spill into the Medi?­ter?­ra?­nean, the Camargue has been reclaimed from the sea to form a national nature reserve.	The Camargue is a national nature reserve that has been reclaimed from the sea.	1	1
He was of two minds, one reveled in the peace of this village.	He loved the smiling villagers who loved each other.	2	2
and uh i'm originally from Virginia and uh and my memories of summer have always been that stifling humidity	I'm from Virginia and I remember summers being full of humid days.	1	1
get something from from the Guess Who or	Take something from the Guess Who.	1	1
Placido Domingo's appearance on the package, compellingly photographed in costume as the ancient King of Crete, (Anthony Tommasini, the New York Times ) is the main selling point for this new recording of one of Mozart's more obscure operas--a fact that does not make critics happy.	Placido Domingo's appearance is absolutely atrocious and uncompelling. 	0	0
It recalls William Randolph Hearst's castle in Caleornia, with its imaginative juxtaposition of ancient Roman and Chinese sculpture, fine Venetian glass chandeliers, Syvres porcelain, old Flemish masters, and naughty French erotica.	There is no art or sculptures located there.	0	0
He said the Web site will help bridge the digital divide that keeps the poor from using the Internet as a resource.	This website looks to remove an obstacle that poor people face regarding the internet. 	1	1
Tommy realized perfectly that in his own wits lay the only chance of escape, and behind his casual manner he was racking his brains furiously.	Tommy was keeping a calm demeanor, though his mind was racing with thoughts of escaping.	1	1
More than half of 800,000 native islanders are children, and the mother is traditionally responsible for bringing them up, handling the money, and making key domestic decisions.	The mother is responsible for the raising of the native islander children.	1	1
The oldest continually occupied settlement on the island is Kastro, where most of the buildings date from the 14th century and were laid out in a circular pattern atop a rocky outcrop 100 m (300 ft) above the east coast.	The buildings in Kastro are dated back to the 14th century.	1	1
We are also advocating enhanced reporting in connection with key federal performance and projection information.	We are not advocating enhanced reporting in connection with key federal performance.	0	0
Emissions will be cut from current emissions of 48 tons to a cap of 26 tons in 2010, and	Emissions will increase from current emissions of 480 tons to a cap of 2600 tons in 2012.	0	0
 Folklore of Ibiza	Ibiza's traditions and lore	1	1
Paper goods.	Paper products.	1	1
Have her show it," said Thorn.	Thorn said she should show it.	1	1
His failure will endure.	The man will be remembered for failing.	1	1
Said we was a-staying at the inn.	He was not staying at the inn.	0	0
The center had become a hodgepodge of unconnected programs--a day-care center, a library, a nonviolence training school.	The library was good for the community.	2	2
Several of the individuals and organizations that we contacted also suggested that agencies move to a more consistent organization, content, and presentation of information to allow for a more common look and feel to agencies' ITbased public participation mechanisms in rulemaking.	Agencies believe that their current practices are sufficient to serve their function.	0	0
The governing statute provides that a committee consisting of the Comptroller General, the Speaker of the House and President Pro Tempore of the Senate, the Majority and Minority leaders, and the Chairmen and Ranking Minority Members of the Senate Governmental Affairs and House Government Reform Committees recommend an individual to the President for appointment.	The process is long and will be reformed in the coming years.	2	2
The analyses comply with the informational requirements of the sections including the classes of small entities subject to the rule and alternatives considered to reduce the burden on the small entities.	The analyses try to follow informational requirements for relevant small entities.	1	1
