word;neg_count;pos_count;neg/tot;total
is more depressing;1;2;0.333;3
kids the island;3;5;0.375;8
of 2002;1;3;0.25;4
of cat;2;0;1.0;2
of storytelling;1;1;0.5;2
about schmidt;1;0;1.0;1
camouflage;2;4;0.333;6
doing;2;5;0.286;7
don care about;1;0;1.0;1
ever so;1;2;0.333;3
hundreds of;2;10;0.167;12
in trouble;2;7;0.222;9
is going;2;10;0.167;12
leave you;1;0;1.0;1
license;3;0;1.0;3
movie or the;1;2;0.333;3
nasty;1;2;0.333;3
neighbor;1;0;1.0;1
notice;1;0;1.0;1
precision;4;4;0.5;8
precision of;1;2;0.333;3
are moments of;1;0;1.0;1
damon;1;2;0.333;3
economic;2;0;1.0;2
enticing and;1;1;0.5;2
kick out of;3;7;0.3;10
kicks in;1;0;1.0;1
blade ii is;1;0;1.0;1
blade is;1;0;1.0;1
builds to;2;3;0.4;5
characters;3;2;0.6;5
have all;2;2;0.5;4
improvement;2;5;0.286;7
limits;1;3;0.25;4
more successful;2;1;0.667;3
pleasing;5;10;0.333;15
be more than;1;1;0.5;2
crafted but;3;10;0.231;13
director zhang;2;4;0.333;6
adults as;2;0;1.0;2
chimpanzees;2;4;0.333;6
china;1;1;0.5;2
epicenter of;1;0;1.0;1
french coming of;2;2;0.5;4
french director;1;0;1.0;1
in each;1;3;0.25;4
more than two;1;0;1.0;1
of the sopranos;1;2;0.333;3
one year;1;3;0.25;4
film like;3;2;0.6;5
fresh air;1;1;0.5;2
fuller;1;4;0.2;5
giving the;7;22;0.241;29
has been told;1;1;0.5;2
manages the;2;11;0.154;13
people were;1;2;0.333;3
alpha;1;0;1.0;1
as the characters;1;4;0.2;5
at times but;1;0;1.0;1
be the first;3;17;0.15;20
depth;4;9;0.308;13
don want to;1;2;0.333;3
drama and;2;4;0.333;6
eccentric;1;0;1.0;1
friend;1;4;0.2;5
it doesn quite;1;2;0.333;3
ll find;1;1;0.5;2
medical;2;2;0.5;4
of cultures and;2;9;0.182;11
often is;1;9;0.1;10
one and you;1;4;0.2;5
avoid;1;3;0.25;4
casting of the;1;2;0.333;3
castro;1;2;0.333;3
definitive;2;4;0.333;6
doesn take;1;0;1.0;1
for their;2;0;1.0;2
great monster;2;8;0.2;10
have to admit;1;5;0.167;6
material that is;1;2;0.333;3
didactic;1;5;0.167;6
literally;1;0;1.0;1
abundantly;1;1;0.5;2
an innocent;1;0;1.0;1
being john malkovich;21;53;0.284;74
believable and;4;6;0.4;10
bowling for columbine;1;1;0.5;2
first by;2;5;0.286;7
friel and;2;3;0.4;5
on so;1;0;1.0;1
an idea;1;1;0.5;2
condescension;1;0;1.0;1
don care;2;4;0.333;6
dual;3;6;0.333;9
goes out;4;16;0.2;20
hunter;1;2;0.333;3
just don;13;24;0.351;37
notes;1;0;1.0;1
absurd;7;17;0.292;24
and pee;1;2;0.333;3
bees;1;3;0.25;4
before;1;3;0.25;4
brawny;1;4;0.2;5
case for;1;0;1.0;1
for all ages;1;2;0.333;3
offer any;10;38;0.208;48
on the way;1;4;0.2;5
play is;1;0;1.0;1
bed;1;2;0.333;3
centering on;6;7;0.462;13
conceived and;1;4;0.2;5
daughter from danang;1;4;0.2;5
documentaries;1;2;0.333;3
healthy;1;4;0.2;5
hope;1;1;0.5;2
hope and;1;1;0.5;2
humane;1;0;1.0;1
in for;1;1;0.5;2
much funnier;1;2;0.333;3
much further;1;1;0.5;2
about one thing;1;1;0.5;2
dream;4;4;0.5;8
haven been;2;2;0.5;4
edge of your;1;1;0.5;2
on any number;1;1;0.5;2
passes for;2;1;0.667;3
cut above;5;3;0.625;8
dearth;10;29;0.256;39
low key;1;3;0.25;4
of living;1;0;1.0;1
older;1;0;1.0;1
blast;1;7;0.125;8
confirms the;2;1;0.667;3
craftsmanship;1;0;1.0;1
gooding;1;0;1.0;1
it doesn even;1;0;1.0;1
it doesn give;1;0;1.0;1
movie as;1;2;0.333;3
or not;1;0;1.0;1
our;1;1;0.5;2
out from the;3;14;0.176;17
back to your;1;0;1.0;1
defines;1;4;0.2;5
defining;1;0;1.0;1
haunts;2;7;0.222;9
make for;3;3;0.5;6
amused;1;1;0.5;2
best movie;4;18;0.182;22
depressed;6;15;0.286;21
introspective;1;1;0.5;2
is so often;1;8;0.111;9
jealousy in;2;2;0.5;4
after next is;8;16;0.333;24
after seeing this;1;1;0.5;2
an excuse to;2;3;0.4;5
clean;1;0;1.0;1
colorful and;3;3;0.5;6
engaging and;1;0;1.0;1
engaging enough;1;0;1.0;1
food;1;1;0.5;2
lips;3;4;0.429;7
love doesn;7;8;0.467;15
makes all;5;9;0.357;14
many levels;2;5;0.286;7
outcome and;1;2;0.333;3
and sci;1;2;0.333;3
cool to;2;0;1.0;2
feature director;2;4;0.333;6
america culture;1;1;0.5;2
apart from;5;10;0.333;15
brings out;1;3;0.25;4
excellent cast;2;1;0.667;3
is hilarious;4;7;0.364;11
kim;2;0;1.0;2
outshine the;3;8;0.273;11
career as;1;1;0.5;2
cinematography is;1;5;0.167;6
more interesting;1;1;0.5;2
documentary but;2;0;1.0;2
itself in the;2;4;0.333;6
left me;3;8;0.273;11
left of;1;0;1.0;1
of impact;2;2;0.5;4
bear;1;1;0.5;2
by its own;1;2;0.333;3
cliches with;3;8;0.273;11
clint;1;0;1.0;1
late;4;3;0.571;7
part it;3;5;0.375;8
accessible and;1;1;0.5;2
coen brothers and;1;1;0.5;2
down the road;1;3;0.25;4
for lot;3;9;0.25;12
its impact;1;6;0.143;7
middle class;1;3;0.25;4
broadly;1;0;1.0;1
has managed to;1;6;0.143;7
life into;1;2;0.333;3
moving portrait of;1;3;0.25;4
adequate;1;1;0.5;2
car;2;1;0.667;3
dean;2;5;0.286;7
gracefully;3;2;0.6;5
origins;1;5;0.167;6
and fear;3;3;0.5;6
annals;1;3;0.25;4
but what makes;1;3;0.25;4
can say;1;0;1.0;1
costume and;3;2;0.6;5
human nature;2;1;0.667;3
nap;2;6;0.25;8
previous movies;2;3;0.4;5
prey;1;1;0.5;2
desire and;7;11;0.389;18
despite some;1;1;0.5;2
doesn make for;1;1;0.5;2
have come;1;0;1.0;1
ll get;1;5;0.167;6
of hopeful;5;1;0.833;6
of humor;5;7;0.417;12
of post;1;0;1.0;1
ah na;1;1;0.5;2
grin;1;0;1.0;1
has never;10;27;0.27;37
moving story;7;18;0.28;25
of this film;4;2;0.667;6
arguably;1;1;0.5;2
arguably the;1;1;0.5;2
charm the;2;6;0.25;8
films it;5;12;0.294;17
is just the;2;0;1.0;2
just follow;7;9;0.438;16
of which;1;6;0.143;7
only by;1;3;0.25;4
an intelligent;2;3;0.4;5
diversion;1;1;0.5;2
film final;1;0;1.0;1
good thing;1;3;0.25;4
inspirational;1;0;1.0;1
breathtakingly;1;2;0.333;3
by someone;1;1;0.5;2
is matched;1;2;0.333;3
laughs;2;6;0.25;8
assume;2;3;0.4;5
development in;1;3;0.25;4
doesn deserve;5;23;0.179;28
fair;2;16;0.111;18
gone straight to;2;7;0.222;9
near the;1;7;0.125;8
parodia;2;3;0.4;5
half dozen;3;1;0.75;4
into it;1;5;0.167;6
into its;1;1;0.5;2
overwhelmed by;2;1;0.667;3
better but;1;0;1.0;1
picture it;1;2;0.333;3
anyone else;5;7;0.417;12
bucks;1;8;0.111;9
care of my;3;11;0.214;14
care to;1;0;1.0;1
ain;6;13;0.316;19
all comedy;1;0;1.0;1
and this is;3;0;1.0;3
and why;2;3;0.4;5
as shallow;1;1;0.5;2
be released;1;0;1.0;1
collective;2;0;1.0;2
combine;1;2;0.333;3
company and;2;4;0.333;6
comparable;1;0;1.0;1
for self;2;0;1.0;2
gently;1;1;0.5;2
guess;2;2;0.5;4
gunfire;4;3;0.571;7
movies and;1;1;0.5;2
much of anything;1;0;1.0;1
comedy and;1;1;0.5;2
destination;3;2;0.6;5
drama with;1;3;0.25;4
first rate;1;0;1.0;1
most ardent fans;1;0;1.0;1
only is;1;2;0.333;3
enough material to;8;16;0.333;24
enough to;2;2;0.5;4
family friendly;1;0;1.0;1
films that seems;2;0;1.0;2
intellectual;2;0;1.0;2
its attempts to;1;1;0.5;2
late in;1;0;1.0;1
love it;1;2;0.333;3
movie tries;1;0;1.0;1
never come;1;0;1.0;1
over the;11;52;0.175;63
actors and;1;3;0.25;4
and goliath;2;4;0.333;6
but it;1;0;1.0;1
but it also;1;0;1.0;1
but it an;1;0;1.0;1
good performances;2;2;0.5;4
couples;1;2;0.333;3
most powerful;7;24;0.226;31
action or;5;31;0.139;36
and ambitious;1;1;0.5;2
and engaging;1;1;0.5;2
at the;3;3;0.5;6
book on;2;1;0.667;3
book the;2;0;1.0;2
created for;2;3;0.4;5
doing its;4;5;0.444;9
invaluable;2;2;0.5;4
is more than;1;2;0.333;3
lack of;1;1;0.5;2
morality tale;1;0;1.0;1
morally;1;0;1.0;1
not enough to;3;9;0.25;12
of himself;2;0;1.0;2
of minor;1;1;0.5;2
of the thriller;2;2;0.5;4
predictable as the;3;2;0.6;5
defined;1;2;0.333;3
go to the;1;0;1.0;1
grip;8;10;0.444;18
her personal;6;31;0.162;37
here seems;2;4;0.333;6
if this movie;1;3;0.25;4
mothman prophecies;5;17;0.227;22
not once;1;0;1.0;1
offers the;1;0;1.0;1
powerfully;2;4;0.333;6
blues;2;1;0.667;3
borrowed;2;0;1.0;2
community in;4;4;0.5;8
from the script;2;7;0.222;9
from the sixth;1;1;0.5;2
hal;2;0;1.0;2
hal hartley;2;0;1.0;2
her film is;1;3;0.25;4
in mind;4;4;0.5;8
mood rather;2;0;1.0;2
not exactly;1;7;0.125;8
comedy drama;1;4;0.2;5
ever wondered what;2;2;0.5;4
is such;1;0;1.0;1
is such high;1;0;1.0;1
of themes;1;1;0.5;2
best efforts;2;2;0.5;4
big fat greek;1;0;1.0;1
book;2;2;0.5;4
book but;1;0;1.0;1
grandfather;2;1;0.667;3
monkeys;1;0;1.0;1
of honesty;2;8;0.2;10
of hope;1;0;1.0;1
as can;1;0;1.0;1
formulaic and;1;0;1.0;1
genre has;1;0;1.0;1
interested to;1;1;0.5;2
ivan;1;1;0.5;2
like horrible;2;5;0.286;7
mouth;1;2;0.333;3
of too many;1;14;0.067;15
of toy;1;8;0.111;9
achieve;1;1;0.5;2
home alabama is;1;0;1.0;1
ish;2;6;0.25;8
more if;1;4;0.2;5
of college;2;1;0.667;3
of sadness;2;4;0.333;6
adults;1;0;1.0;1
brought to;1;0;1.0;1
complaint;1;10;0.091;11
hour to;2;2;0.5;4
larry;2;4;0.333;6
made all;1;1;0.5;2
cocoon;5;12;0.294;17
give anyone;3;2;0.6;5
one could;1;3;0.25;4
or worse;3;3;0.5;6
ali;1;1;0.5;2
film characters;2;0;1.0;2
film city;2;0;1.0;2
heat;6;4;0.6;10
heated;6;1;0.857;7
heaven;2;0;1.0;2
clueless;1;7;0.125;8
consequence;1;1;0.5;2
leaves lot;1;5;0.167;6
and son;8;5;0.615;13
and sophisticated;1;0;1.0;1
as with;3;1;0.75;4
contenders;2;4;0.333;6
feel good;1;0;1.0;1
film could possibly;7;10;0.412;17
formula 51 is;11;6;0.647;17
formulaic;1;0;1.0;1
he gives;1;3;0.25;4
hey arnold the;1;1;0.5;2
if we;1;1;0.5;2
is full;1;4;0.2;5
lie;2;7;0.222;9
may find;1;1;0.5;2
patience of;2;4;0.333;6
as flat;1;4;0.2;5
in addition to;1;0;1.0;1
necessary to;1;0;1.0;1
activity;1;0;1.0;1
actor;1;0;1.0;1
blade ii;1;0;1.0;1
bob;4;3;0.571;7
bob crane;1;1;0.5;2
bobby;1;0;1.0;1
filmed;1;0;1.0;1
ice age;1;0;1.0;1
moody;1;1;0.5;2
moon;1;1;0.5;2
plays like some;3;3;0.5;6
ambitious than;1;4;0.2;5
at the prospect;1;5;0.167;6
been so;1;0;1.0;1
forster;2;1;0.667;3
hero worship;2;4;0.333;6
is cinematic;2;2;0.5;4
makes up;1;0;1.0;1
never seems;1;1;0.5;2
no mistaking;2;5;0.286;7
not be;1;0;1.0;1
performance in;6;13;0.316;19
forte;1;0;1.0;1
has worked;2;1;0.667;3
and again;1;5;0.167;6
and simple;1;4;0.2;5
are incredibly;2;0;1.0;2
forces you to;1;0;1.0;1
hit;1;0;1.0;1
of its two;1;1;0.5;2
of itself;1;0;1.0;1
once but;1;4;0.2;5
once in;1;3;0.25;4
political intrigue;5;17;0.227;22
pollution;1;2;0.333;3
coming as;1;0;1.0;1
dynamite;2;1;0.667;3
he;1;0;1.0;1
of insight;1;0;1.0;1
of tales;12;60;0.167;72
because for;2;6;0.25;8
children will;1;0;1.0;1
colin;1;1;0.5;2
french comedy;1;2;0.333;3
gut wrenching;1;0;1.0;1
if it were;1;0;1.0;1
if it weren;1;0;1.0;1
is lot;1;0;1.0;1
performance from;1;13;0.071;14
performance from the;1;0;1.0;1
analytical;1;0;1.0;1
as john;1;0;1.0;1
bears;2;2;0.5;4
charm or;1;0;1.0;1
for teens and;8;9;0.471;17
gives performance that;1;0;1.0;1
gold;1;1;0.5;2
becomes the;1;1;0.5;2
family oriented;1;1;0.5;2
joseph;1;2;0.333;3
nearly enough;1;1;0.5;2
clarity and;1;3;0.25;4
devoid;1;2;0.333;3
documentary in;1;2;0.333;3
down by;1;6;0.143;7
everything except;1;2;0.333;3
front of;1;4;0.2;5
is anything;3;2;0.6;5
is creepy;6;21;0.222;27
picture shows;1;2;0.333;3
as high;1;1;0.5;2
at its most;1;1;0.5;2
give us;1;0;1.0;1
in its wake;1;4;0.2;5
is;3;3;0.5;6
is determined;2;1;0.667;3
know what it;1;3;0.25;4
know when;1;1;0.5;2
pleaser;3;7;0.3;10
15 minutes;1;0;1.0;1
15 year;1;0;1.0;1
15 year old;1;0;1.0;1
an achievement;1;0;1.0;1
beside the;3;4;0.429;7
bubble;1;1;0.5;2
carmen;1;5;0.167;6
gently humorous;1;0;1.0;1
hilarious romantic;1;1;0.5;2
looks as if;2;3;0.4;5
niro;1;0;1.0;1
noise and;1;4;0.2;5
of japanese;1;0;1.0;1
on your;2;4;0.333;6
performances but;1;0;1.0;1
and then;3;2;0.6;5
chapter of the;1;6;0.143;7
circumstances and;2;0;1.0;2
genial;2;3;0.4;5
holds;1;0;1.0;1
is dazzling;1;1;0.5;2
its pretensions;2;10;0.167;12
its profound;2;4;0.333;6
more out of;1;1;0.5;2
must have;2;7;0.222;9
must have been;1;0;1.0;1
of the previous;2;4;0.333;6
of the road;1;1;0.5;2
of the role;1;0;1.0;1
and not much;1;0;1.0;1
least if you;1;0;1.0;1
and educational;1;2;0.333;3
character study and;1;2;0.333;3
cloaked;1;4;0.2;5
cloaked in;1;4;0.2;5
is still;2;4;0.333;6
and forgettable;1;1;0.5;2
and movies;4;10;0.286;14
be anything but;4;3;0.571;7
but good;2;1;0.667;3
carpenter;1;2;0.333;3
clad;1;2;0.333;3
film to;2;2;0.5;4
for this movie;1;1;0.5;2
like three hours;1;3;0.25;4
cast in;1;1;0.5;2
comes as;1;3;0.25;4
film because it;3;2;0.6;5
of genuine;1;0;1.0;1
of which is;5;6;0.455;11
of white;5;6;0.455;11
eyes of;3;2;0.6;5
give it;1;6;0.143;7
god help;1;0;1.0;1
cheese;1;1;0.5;2
poorly executed;4;9;0.308;13
aims;2;3;0.4;5
are;4;6;0.4;10
bad action movie;1;2;0.333;3
bad and;1;0;1.0;1
cops;2;0;1.0;2
corpus;3;7;0.3;10
correctness;1;0;1.0;1
correctness but;1;0;1.0;1
cup of;1;6;0.143;7
disappointing in;4;18;0.182;22
dismiss;1;1;0.5;2
distant;1;1;0.5;2
edward;1;5;0.167;6
engaging film;1;0;1.0;1
in american;1;0;1.0;1
new best friend;1;0;1.0;1
of sharp;1;0;1.0;1
of the smarter;1;1;0.5;2
chops;1;1;0.5;2
fans of;1;0;1.0;1
lots of;1;2;0.333;3
nothing happens;1;9;0.1;10
as dahmer;1;2;0.333;3
bad movies;1;1;0.5;2
better than;1;6;0.143;7
but can;2;1;0.667;3
could use little;1;1;0.5;2
course of;1;1;0.5;2
effort that will;1;2;0.333;3
excellent performances;1;1;0.5;2
gamble;3;7;0.3;10
game;3;2;0.6;5
in particular;1;1;0.5;2
initially;1;1;0.5;2
it gets the;1;1;0.5;2
plenty to;1;4;0.2;5
pressed to;1;1;0.5;2
britney;2;6;0.25;8
going on;2;3;0.4;5
all the usual;1;1;0.5;2
at time;1;2;0.333;3
dr;4;22;0.154;26
drab;1;1;0.5;2
it all about;5;9;0.357;14
it all before;2;0;1.0;2
none of it;1;1;0.5;2
of society;6;17;0.261;23
film is just;4;5;0.444;9
first two;1;0;1.0;1
found the;2;3;0.4;5
genre in;1;0;1.0;1
baked;8;23;0.258;31
chord;2;9;0.182;11
dimension;1;0;1.0;1
explosive;1;0;1.0;1
fresnadillo;2;7;0.222;9
hard to imagine;4;8;0.333;12
hard to like;2;3;0.4;5
humorous and;2;4;0.333;6
in this movie;1;1;0.5;2
is so earnest;4;3;0.571;7
it tends;1;1;0.5;2
narrative flow;1;2;0.333;3
on the viewer;1;0;1.0;1
affection;1;0;1.0;1
code;1;1;0.5;2
gorgeous visuals;2;7;0.222;9
great movie;1;4;0.2;5
his way;1;3;0.25;4
merits;2;2;0.5;4
comes to;1;2;0.333;3
emotional wallop;1;1;0.5;2
grace;1;1;0.5;2
have been more;1;2;0.333;3
of any kind;2;0;1.0;2
94;2;2;0.5;4
and pretentious;2;5;0.286;7
any of its;1;3;0.25;4
coffee table;1;0;1.0;1
lines;2;2;0.5;4
lines and;1;2;0.333;3
blanks;1;1;0.5;2
caesar;1;5;0.167;6
certainly has;1;1;0.5;2
doesn come;2;0;1.0;2
efforts of;1;3;0.25;4
find on;1;1;0.5;2
foreign policy;4;10;0.286;14
forget;1;0;1.0;1
generation of;1;1;0.5;2
impersonation;1;0;1.0;1
indian american;2;1;0.667;3
is rambling;1;0;1.0;1
looks and feels;1;4;0.2;5
of modern times;2;4;0.333;6
pep;1;0;1.0;1
its message;4;8;0.333;12
itself is;2;0;1.0;2
lived in;1;5;0.167;6
opens today in;1;5;0.167;6
as always;1;0;1.0;1
at some of;1;6;0.143;7
debut for;1;0;1.0;1
debut with;9;53;0.145;62
decline;1;0;1.0;1
es un;1;2;0.333;3
flashes of;2;5;0.286;7
flat and;1;2;0.333;3
lover;3;7;0.3;10
passionate and;1;1;0.5;2
benefit from;4;9;0.308;13
benefits;1;0;1.0;1
come with;1;1;0.5;2
his movie star;1;1;0.5;2
device;1;0;1.0;1
doses;1;2;0.333;3
crime story that;1;0;1.0;1
for too long;1;3;0.25;4
for trying;1;0;1.0;1
american dream;1;1;0.5;2
and stylish;3;9;0.25;12
calling;1;2;0.333;3
callow;1;1;0.5;2
calls;1;1;0.5;2
effort to;2;4;0.333;6
eventually;1;1;0.5;2
for those who;1;0;1.0;1
gone long;1;0;1.0;1
grey zone is;1;0;1.0;1
as sharp;1;3;0.25;4
characters seem;2;4;0.333;6
chocolate;1;0;1.0;1
director john;1;0;1.0;1
for adults;1;0;1.0;1
gangster no is;1;1;0.5;2
instinct;1;0;1.0;1
is about the;1;3;0.25;4
is great the;1;0;1.0;1
like watching;1;2;0.333;3
makes an;1;0;1.0;1
pay off;1;1;0.5;2
and witty;1;0;1.0;1
bodice;2;3;0.4;5
bodied;1;0;1.0;1
borrows;1;0;1.0;1
effectively;1;3;0.25;4
example of;2;1;0.667;3
learn;1;1;0.5;2
moonlight;1;0;1.0;1
moonlight mile;1;0;1.0;1
bad it;1;1;0.5;2
bar;1;2;0.333;3
but in its;1;6;0.143;7
character story;1;0;1.0;1
discovering;3;7;0.3;10
doubt that;3;11;0.214;14
doug;2;6;0.25;8
failure;2;2;0.5;4
is for you;1;0;1.0;1
labored;3;6;0.333;9
between these;4;3;0.571;7
come off as;2;13;0.133;15
come out in;2;10;0.167;12
evoking;1;1;0.5;2
fiercely;1;0;1.0;1
good natured;1;2;0.333;3
interesante;1;0;1.0;1
love story;2;1;0.667;3
monsters;1;0;1.0;1
never comes;1;0;1.0;1
plays out with;1;3;0.25;4
claude chabrol;1;1;0.5;2
clause;1;0;1.0;1
gripping performances;1;0;1.0;1
emerges as;2;3;0.4;5
emerges from the;1;0;1.0;1
few laughs and;1;2;0.333;3
film for;1;0;1.0;1
goes off the;2;3;0.4;5
gradually;1;0;1.0;1
in the night;15;40;0.273;55
in the shadows;1;0;1.0;1
life of the;1;0;1.0;1
neutral;6;23;0.207;29
of longing;2;2;0.5;4
in more;1;1;0.5;2
jettisoned;1;14;0.067;15
greatness;5;3;0.625;8
about lily chou;1;0;1.0;1
conversations about one;3;8;0.273;11
imagined;3;4;0.429;7
in the series;2;0;1.0;2
is familiar;1;0;1.0;1
it tough to;1;2;0.333;3
it tries to;1;0;1.0;1
just when;1;0;1.0;1
kurys;2;1;0.667;3
mother;2;1;0.667;3
for younger;1;2;0.333;3
of all fears;1;2;0.333;3
path of;2;0;1.0;2
pretty;3;5;0.375;8
become the;2;1;0.667;3
becomes;2;1;0.667;3
land and;1;2;0.333;3
and totally;2;6;0.25;8
3d;1;1;0.5;2
40;1;1;0.5;2
another;1;0;1.0;1
debut feature but;1;2;0.333;3
games;1;3;0.25;4
grisly;6;35;0.146;41
home alone;1;0;1.0;1
leash;2;5;0.286;7
level that;3;6;0.333;9
levels that;1;0;1.0;1
of dialogue;1;0;1.0;1
action genre;1;1;0.5;2
arc;1;0;1.0;1
are they;9;22;0.29;31
brutal;2;5;0.286;7
dani kouyate;1;0;1.0;1
dumber;4;6;0.4;10
he loses;1;0;1.0;1
horrors of;3;4;0.429;7
loathing;1;3;0.25;4
michael caine;1;0;1.0;1
missteps;3;7;0.3;10
action films;2;0;1.0;2
demonstrate that;2;1;0.667;3
especially when the;2;5;0.286;7
film delivers;1;1;0.5;2
finished;1;4;0.2;5
for;1;0;1.0;1
half hearted;1;7;0.125;8
historically significant;1;3;0.25;4
infused;1;0;1.0;1
judd;1;0;1.0;1
masculine;2;4;0.333;6
men in;1;0;1.0;1
predictable narrative;1;2;0.333;3
private ryan;1;0;1.0;1
as promising;1;5;0.167;6
be in the;1;0;1.0;1
even fans of;2;2;0.5;4
gosling murder by;1;3;0.25;4
make like;2;4;0.333;6
brother is;1;1;0.5;2
brothers;1;1;0.5;2
faithful;1;1;0.5;2
hit you;5;33;0.132;38
hold our;1;1;0.5;2
hold our interest;1;1;0.5;2
it movie;1;6;0.143;7
legged freaks is;2;1;0.667;3
lends;1;2;0.333;3
marcus adams;2;0;1.0;2
of picture;1;1;0.5;2
only half;1;4;0.2;5
overproduced;1;0;1.0;1
as visually;1;0;1.0;1
condescending;1;1;0.5;2
could have and;1;2;0.333;3
crimen;1;0;1.0;1
motion picture it;1;2;0.333;3
an episode;1;1;0.5;2
and fascinating;2;5;0.286;7
best way;3;5;0.375;8
creating the;1;0;1.0;1
creation;1;0;1.0;1
feast of;1;3;0.25;4
glass of;4;16;0.2;20
glasses;3;14;0.176;17
jeffrey;1;1;0.5;2
oprah;1;0;1.0;1
organic;1;6;0.143;7
actor to;1;1;0.5;2
ambitions;1;1;0.5;2
from hong;1;0;1.0;1
gives his;1;1;0.5;2
it really just;1;3;0.25;4
knows the;1;2;0.333;3
pleasure to watch;1;1;0.5;2
it is too;1;1;0.5;2
its violence;1;1;0.5;2
its virtues;1;1;0.5;2
nonconformist;1;2;0.333;3
perry and;3;2;0.6;5
prevent;2;1;0.667;3
about any;1;1;0.5;2
count on;1;5;0.167;6
kooky;1;0;1.0;1
lacking the;8;26;0.235;34
now can;2;3;0.4;5
and this movie;2;0;1.0;2
avant;1;0;1.0;1
before it;1;5;0.167;6
but even;1;0;1.0;1
by someone who;5;17;0.227;22
fire with;1;0;1.0;1
glass;1;2;0.333;3
glass and;1;1;0.5;2
human resources;1;2;0.333;3
incorporates;1;0;1.0;1
numbers and;2;4;0.333;6
of de;2;0;1.0;2
of suspense;1;1;0.5;2
pranks;4;13;0.235;17
100;1;3;0.25;4
12 year old;2;1;0.667;3
13;1;0;1.0;1
13 conversations;1;0;1.0;1
84 minutes;1;4;0.2;5
85;1;4;0.2;5
fright;1;1;0.5;2
nonstop;2;0;1.0;2
of in;2;2;0.5;4
of marriage;2;1;0.667;3
between the characters;1;0;1.0;1
ghost ship;1;1;0.5;2
including;1;0;1.0;1
lends the;1;0;1.0;1
anguish;2;2;0.5;4
biggest;2;3;0.4;5
cross cultural;1;2;0.333;3
fear and;2;6;0.25;8
fear dot;1;0;1.0;1
in terms of;1;1;0.5;2
independent film;1;0;1.0;1
atop;1;0;1.0;1
bad acting;2;7;0.222;9
bad action;2;3;0.4;5
bullets;1;3;0.25;4
changes;1;0;1.0;1
choppy;1;1;0.5;2
diesel is;2;4;0.333;6
driving;2;0;1.0;2
flaws and;1;2;0.333;3
gotten;1;1;0.5;2
her is;2;1;0.667;3
it isn;1;0;1.0;1
although there;1;3;0.25;4
are more;1;0;1.0;1
beguiling;1;5;0.167;6
begun;1;3;0.25;4
have take;1;5;0.167;6
have their;1;0;1.0;1
in watching;2;9;0.182;11
is nothing more;1;1;0.5;2
lie and;1;5;0.167;6
ode;1;2;0.333;3
1950s;1;0;1.0;1
1958;1;0;1.0;1
baffling;1;2;0.333;3
not be as;2;0;1.0;2
absorbed;2;5;0.286;7
leads;1;0;1.0;1
minutes of your;5;12;0.294;17
more depressing;4;3;0.571;7
only for its;1;6;0.143;7
is gripping;2;4;0.333;6
is hampered;1;1;0.5;2
lacks the visual;2;9;0.182;11
madness;2;8;0.2;10
metropolis;1;2;0.333;3
cuts to the;1;2;0.333;3
evident;1;3;0.25;4
it seems;1;4;0.2;5
leather;1;3;0.25;4
leave;1;2;0.333;3
and lovely;1;0;1.0;1
and loving;1;0;1.0;1
clocks in;1;0;1.0;1
effective film;3;8;0.273;11
effective if;1;0;1.0;1
have long;1;0;1.0;1
is very original;1;1;0.5;2
its worst;2;0;1.0;2
maintaining;2;3;0.4;5
maintains;1;2;0.333;3
maintains your;1;1;0.5;2
movie from;1;0;1.0;1
movie from the;1;0;1.0;1
natured and;2;0;1.0;2
and snow;1;1;0.5;2
christmas;1;0;1.0;1
in welcome;1;0;1.0;1
makes sense;2;2;0.5;4
pacing and lack;1;1;0.5;2
are actually;1;1;0.5;2
far too;1;6;0.143;7
of the computer;2;11;0.154;13
of the contemporary;1;1;0.5;2
praise of love;1;0;1.0;1
can inspire;4;15;0.211;19
can offer;1;0;1.0;1
italian comedy;1;0;1.0;1
literate;2;4;0.333;6
of revelation;1;0;1.0;1
not too;1;0;1.0;1
brings us;4;11;0.267;15
can make;1;1;0.5;2
chuckles;1;0;1.0;1
in the end;1;5;0.167;6
love cinema paradiso;2;0;1.0;2
married;1;6;0.143;7
much of it;1;2;0.333;3
alias betty;1;0;1.0;1
as chilling and;1;2;0.333;3
believe in it;3;12;0.2;15
belongs to;2;1;0.667;3
drama in;2;2;0.5;4
feel the;2;1;0.667;3
past decade;4;14;0.222;18
past his;2;1;0.667;3
people have;1;1;0.5;2
and much;1;1;0.5;2
but darned if;1;5;0.167;6
goose;3;3;0.5;6
grungy;2;4;0.333;6
has about;1;0;1.0;1
inhabitants;3;23;0.115;26
inhuman;2;4;0.333;6
acquainted;2;4;0.333;6
all or;1;0;1.0;1
and yes;1;4;0.2;5
chapter;2;5;0.286;7
food of;3;16;0.158;19
food of love;1;0;1.0;1
for every;1;0;1.0;1
green dragon;2;11;0.154;13
kiss is just;1;3;0.25;4
of its own;1;7;0.125;8
consumed;1;2;0.333;3
everything else is;2;2;0.5;4
generated;3;3;0.5;6
in stasis;1;0;1.0;1
it refreshing to;1;1;0.5;2
looked;1;5;0.167;6
objectivity;2;2;0.5;4
objectivity and;1;0;1.0;1
palette;2;2;0.5;4
act and;1;1;0.5;2
alternate;1;0;1.0;1
and stupid;3;1;0.75;4
